date,home_team,away_team,home_shots_target,away_shots_target,season,target,home_goals_avg,home_goals_conceded_avg,home_form,home_days_rest,away_goals_avg,away_goals_conceded_avg,away_form,away_days_rest,home_rang,away_rang,h2h_home_win_rate,h2h_draw_rate,h2h_n_matches,home_rank_norm,away_rank_norm,classement_diff,goals_diff,defense_diff,form_diff,fatigue_diff,home_attack_vs_away_def,away_attack_vs_home_def,y_true,y_pred,correct,prob_dom,prob_nul,prob_ext,confidence,error
2023-12-10,Lorient,Marseille,9.0,8.0,2324,0,1.1732370120180324,1.798340704367032,7.0,7.0,1.2529781451197437,0.8116190013442237,12.0,4.0,8,2,0.0,0.3,10,0.3684210526315789,0.0526315789473684,-0.3157894736842105,-0.0797411331017112,-0.9867217030228084,-5.0,-3.0,1.4455514349403944,0.6967412471268944,0,0,True,0.16816713,0.22723553,0.60459733,0.60459733,False
2023-12-10,Clermont,Lille,5.0,3.0,2324,1,0.4793867426220908,1.3357896382757222,9.0,7.0,1.413439006903662,0.4571039224399548,19.0,7.0,11,3,0.25,0.25,4,0.5263157894736842,0.1052631578947368,-0.4210526315789473,-0.9340522642815712,-0.8786857158357673,-10.0,0.0,1.048747820983888,1.058129937830759,1,0,False,0.30869934,0.33245423,0.3588464,0.3588464,True
2023-12-10,Nice,Reims,5.0,2.0,2324,2,0.8795593497441663,0.2724984227871251,23.0,8.0,1.168697641479686,1.4616622224914009,16.0,9.0,4,5,0.25,0.6666666666666666,12,0.1578947368421052,0.2105263157894736,0.0526315789473684,-0.2891382917355196,1.189163799704276,7.0,1.0,0.601752810060972,3.895658804932287,2,2,True,0.5324567,0.29800883,0.16953449,0.5324567,False
2023-12-10,Metz,Brest,3.0,3.0,2324,0,1.04969816906563,1.3690286732361554,11.0,7.0,1.4092807229364988,1.0356868103730033,15.0,3.0,9,10,0.4,0.0,5,0.4210526315789473,0.4736842105263157,0.0526315789473684,-0.3595825538708688,-0.3333418628631521,-4.0,-4.0,1.0135285672775736,1.0294019040559568,0,1,False,0.3415439,0.48996028,0.16849579,0.48996028,True
2023-12-15,Monaco,Lyon,4.0,2.0,2324,0,1.615388615665569,1.3033612475999354,19.0,6.0,1.2026197476408764,1.6773001665532616,8.0,5.0,1,2,0.3333333333333333,0.0666666666666666,15,0.0,0.0526315789473684,0.0526315789473684,0.4127688680246926,0.3739389189533262,11.0,-1.0,0.9630885680915916,0.92270638693258,0,2,False,0.49184844,0.36027792,0.14787363,0.49184844,True
2023-12-16,Le Havre,Nice,5.0,6.0,2324,2,0.4739657287675178,1.0961322407469718,10.0,6.0,0.9380694214909864,0.2917145872296495,23.0,6.0,4,1,0.45,0.26,0,0.1578947368421052,0.0,-0.1578947368421052,-0.4641036927234687,-0.8044176535173222,-13.0,0.0,1.5798857625583926,0.8557994981077542,2,0,False,0.28208593,0.2572867,0.4606274,0.4606274,True
2023-12-16,Lens,Reims,2.0,3.0,2324,2,1.5206874296500623,0.4092782356858075,22.0,8.0,1.1518278773317174,1.5154960002422606,16.0,6.0,3,2,0.5,0.5,6,0.1052631578947368,0.0526315789473684,-0.0526315789473684,0.3688595523183449,1.106217764556453,6.0,-2.0,1.0034255645722403,2.8142905654429824,2,2,True,0.40591803,0.29290053,0.30118147,0.40591803,False
2023-12-17,Nantes,Brest,4.0,8.0,2324,0,1.0772014757314654,1.556377160086084,13.0,8.0,1.314818657364086,0.8785841360569401,15.0,7.0,6,11,0.5714285714285714,0.2857142857142857,7,0.2631578947368421,0.5263157894736842,0.2631578947368421,-0.2376171816326204,-0.677793024029144,-2.0,-1.0,1.2260652469391424,0.8447943667403617,0,0,True,0.13261725,0.37541184,0.49197093,0.49197093,False
2023-12-17,Lorient,Strasbourg,1.0,9.0,2324,0,1.2559133108162293,2.1255746204878547,6.0,7.0,0.9051147316396396,1.200770017685392,10.0,7.0,9,7,0.3333333333333333,0.5,6,0.4210526315789473,0.3157894736842105,-0.1052631578947368,0.3507985791765896,-0.9248046028024628,-4.0,0.0,1.0459232761633503,0.4258211981435404,0,0,True,0.033016138,0.18095054,0.78603333,0.78603333,False
2023-12-17,Metz,Montpellier,4.0,3.0,2324,0,0.891194358880304,1.3856597991913029,8.0,7.0,0.6793456416027969,1.1553530948914623,10.0,9.0,10,5,0.4,0.4,10,0.4736842105263157,0.2105263157894736,-0.2631578947368421,0.2118487172775071,-0.2303067042998403,-2.0,2.0,0.7713610348393326,0.4902687095340977,0,2,False,0.42857262,0.38342607,0.18800126,0.42857262,True
2023-12-17,Toulouse,Rennes,6.0,4.0,2324,1,0.763625883927998,1.582513079957389,7.0,7.0,0.9705850257698496,1.5614299504474305,8.0,8.0,8,4,0.1666666666666666,0.25,12,0.3684210526315789,0.1578947368421052,-0.2105263157894736,-0.2069591418418515,-0.0210831295099587,-1.0,1.0,0.4890554864207516,0.6133188016341601,1,2,False,0.35293946,0.33708507,0.30997548,0.35293946,True
